"EID","Tag","TagDate","TagLon","TagLat","TagCL","TagSex","CapDate","CapLon","CapLat","CapCL","CapSex","DAL","SizeDiff","MoltIncr","Molted","z","TagDepth","CapDepth","subarea","degreedays"
6001,581,1982-09-05,-65.2833333333333,43.6166666666667,47,NA,1982-10-03,-65.2833333333333,43.6166666666667,47,1,28,0,0,0,3.40950659034869,3.40950659034869,3.40950659034869,"33W",393.653635486116
6002,39918,1980-08-19,-64.8666666666667,45.5333333333333,117,2,1981-01-06,-66.6166666666667,44.65,130,2,140,13,0.111111111111111,1,90.32503120656,56.3281540195272,124.321908393593,"38",1145.44322214296
6003,23753,1979-08-14,-65.15,45.5,88,2,1983-11-10,-66.5833333333333,44.6333333333333,134,3,1549,46,0.522727272727273,1,74.3917569486477,15.7032024956943,133.080311401601,"38",11355.646026297
6004,44743,1982-10-22,-66.75,44.75,129,3,1982-12-11,-66.6,44.7166666666667,129,3,50,0,0,0,79.9292803955543,27.0243868610095,132.834173930099,"38",436.694225585247
6005,44409,1982-09-23,-66.75,44.75,128,3,1982-11-30,-66.6166666666667,44.7333333333333,128,3,68,0,0,0,75.0526088112023,27.0243868610095,123.080830761395,"38",650.876746196411
6006,43501,1982-08-24,-66.75,44.7833333333333,124,3,1982-11-16,-66.6666666666667,44.7666666666667,124,3,84,0,0,0,65.5546559407602,46.2294013173462,84.8799105641741,"38",843.830578087333
6007,5193,1978-08-23,-66.9,44.6333333333333,77,2,1978-12-06,-66.9166666666667,44.6166666666667,77,2,105,0,0,0,20.7608728832965,26.6523168189811,14.8694289476118,"38",1209.88082983435
6008,3335,1978-07-20,-66.8166666666667,44.5833333333333,70,2,1979-12-01,-66.95,44.5833333333333,100,2,499,30,0.428571428571429,1,30.7196661227839,20.2672292795425,41.1721029660252,"38",3948.45914139969
6009,24718,1979-08-03,-65.3833333333333,45.35,85,1,1979-11-19,-65.45,45.3833333333333,107,1,108,22,0.258823529411765,1,31.8934948786991,43.5692435992083,20.2177461581898,"36",1230.7112626426
6010,80753,1987-07-28,-65.2833333333333,43.6166666666667,83,2,1987-08-21,-65.2833333333333,43.6166666666667,83,2,24,0,0,0,3.40950659034869,3.40950659034869,3.40950659034869,"33W",347.542703998353
6011,43298,1982-08-12,-66.7166666666667,44.7333333333333,123,3,1983-05-18,-66.45,44.65,134,2,279,11,0.0894308943089431,1,99.3487671955277,3.70539082068331,194.992143570372,"38",1951.54531405148
6012,38654,1980-11-21,-66.1833333333333,43.9833333333333,102,1,1982-05-28,-66.25,43.9833333333333,119,1,553,17,0.166666666666667,1,22.661380163063,21.3289772205147,23.9937831056114,"34",3664.95195170831
6013,2164,1977-11-21,-66.6666666666667,44.7833333333333,150,3,1979-05-28,-66.5666666666667,44.6333333333333,156,2,553,6,0.04,1,119.388520745455,87.093886437709,151.683155053201,"38",3551.17682321328
6014,59529,1983-11-03,-66.25,43.9833333333333,86,2,1983-12-02,-66.3166666666667,43.9833333333333,86,2,29,0,0,0,22.6442924949878,23.9937831056114,21.2948018843642,"34",274.60323678556
6015,29465,1979-11-09,-66.25,43.9833333333333,85,1,1980-04-24,-66.2166666666667,43.9833333333333,85,1,167,0,0,0,19.8527019713999,23.9937831056114,15.7116208371884,"34",703.604480465833
6016,44867,1982-10-28,-66.7166666666667,44.75,113,3,1982-12-07,-66.6,44.75,113,3,40,0,0,0,87.7479577838714,47.3000433517297,128.195872216013,"38",330.780919365124
6017,44627,1982-10-18,-66.75,44.75,107,3,1982-12-01,-66.6833333333333,44.7,107,3,44,0,0,0,52.8855928482569,27.0243868610095,78.7467988355043,"38",392.803090945893
6018,43648,1982-08-27,-66.75,44.75,148,3,1983-06-17,-66.5166666666667,44.6,147,3,294,-1,-0.00675675675675676,0,118.273976237442,27.0243868610095,209.523565613875,"38",2005.1663892901
6019,43352,1982-08-13,-66.7333333333333,44.75,134,3,1983-06-13,-66.6166666666667,44.65,141,2,304,7,0.0522388059701493,1,76.1427306398935,27.9635528861944,124.321908393593,"38",2082.62890392608
6020,36022,1980-08-27,-66.3833333333333,45.0833333333333,78,2,1982-01-06,-66.6,44.7666666666667,115,2,497,37,0.474358974358974,1,82.031833307145,39.5790262195172,124.484640394773,"38",3625.47779291132
6021,18608,1979-09-12,-66.3,45.05,89,2,1980-06-26,-66.35,45.1,89,2,288,0,0,0,50.7837546047065,66.7902659784635,34.7772432309496,"36",1778.7020028316
6022,4448,1991-09-24,-66.75,44.75,120,3,1992-03-25,-66.5333333333333,44.6166666666667,120,3,183,0,0,0,115.531896390259,27.0243868610095,204.039405919509,"38",1361.93488326509
6023,18740,1979-09-13,-66.3833333333333,45.0833333333333,89,1,1979-11-27,-66.4666666666667,45.05,89,1,75,0,0,0,38.1596746799346,39.5790262195172,36.740323140352,"36",772.644434409407
6024,46470,1982-11-24,-66.65,44.7333333333333,127,3,1982-12-21,-66.6666666666667,44.7,127,3,27,0,0,0,95.8422544562437,95.3352399696526,96.3492689428348,"38",217.164860312079
6025,36845,1980-09-23,-66.3166666666667,45.1,71,1,1980-11-12,-66.4666666666667,45.05,71,1,50,0,0,0,37.9533211331666,39.1663191259812,36.740323140352,"36",534.813679447091
6026,6391,1978-09-22,-66.75,44.75,95,3,1980-12-01,-66.7333333333333,44.7833333333333,104,2,801,9,0.0947368421052632,1,50.6234343669628,27.0243868610095,74.2224818729161,"38",5356.33887056122
6027,44975,1982-11-02,-66.7166666666667,44.75,161,3,1983-05-14,-66.65,44.6833333333333,162,2,193,1,0.0062111801242236,0,77.547479751068,47.3000433517297,107.794916150406,"38",1145.82480313995
6028,43911,1982-09-08,-66.75,44.75,110,3,1982-11-16,-66.65,44.7333333333333,110,3,69,0,0,0,61.179813415331,27.0243868610095,95.3352399696526,"38",713.568450184592
6029,86318,1992-07-07,-65.2333333333333,45.4833333333333,104,3,1992-12-28,-66.55,44.6166666666667,116,2,174,12,0.115384615384615,1,92.2535331397946,2.13909004389962,182.36797623569,"38",1371.98773030984
6030,6376,1978-09-22,-66.75,44.75,103,2,1980-11-14,-66.7166666666667,44.7333333333333,115,3,784,12,0.116504854368932,1,15.3648888408464,27.0243868610095,3.70539082068331,"38",6458.72842280626
6031,86862,1992-07-10,-65.2333333333333,45.4833333333333,118,1,1992-07-23,-65.0833333333333,45.5,118,1,13,0,0,0,16.3893150388097,2.13909004389962,30.6395400337198,"36",187.466055089524
6032,29663,1979-11-11,-66.2166666666667,43.9833333333333,86,1,1980-05-05,-66.2,43.95,86,1,176,0,0,0,16.161099660424,15.7116208371884,16.6105784836596,"34",735.80143064429
6033,61802,1984-10-16,-65.8166666666667,43.6,54,2,1984-10-25,-65.85,43.6,54,2,9,0,0,0,9.41672903198364,8.20478540212694,10.6286726618403,"34",122.107226991013
6034,60609,1984-09-20,-65.8166666666667,43.6,71,1,1984-10-25,-65.85,43.6,70,1,35,-1,-0.0140845070422535,0,9.41672903198364,8.20478540212694,10.6286726618403,"34",478.0288899957
6035,58803,1983-08-24,-65.95,43.7166666666667,96,2,1986-06-13,-65.3,42.2333333333333,127,2,1024,31,0.322916666666667,1,144.634622955421,6.14328656321103,283.125959347631,"41",7587.69600404798
6036,60349,1984-09-18,-65.8166666666667,43.6,52,1,1984-09-26,-65.8,43.6,51,1,8,-1,-0.0192307692307692,0,-0.850769111351046,8.20478540212694,-9.90632362482903,"34",128.326186242916
6037,57789,1983-08-05,-65.9166666666667,43.6333333333333,109,1,1984-05-25,-66.6833333333333,42.6333333333333,125,1,294,16,0.146788990825688,1,96.4992997911866,15.1083725468411,177.890227035532,"41",2168.02496711274
6038,57917,1983-08-07,-66,43.65,102,2,1985-04-02,-69.75,42.25,116,2,604,14,0.137254901960784,1,124.167491133892,3.3793087662294,244.955673501555,"34",4327.77365810252
6039,57376,1983-07-27,-66,43.65,107,1,1983-11-15,-66.65,42.7,126,1,111,19,0.177570093457944,1,84.0123551356351,3.3793087662294,164.645401505041,"41",1031.58564053186
6040,57157,1983-07-24,-66.1333333333333,43.6,104,3,1984-08-29,-66.65,42.7666666666667,114,3,402,10,0.0961538461538462,1,95.5604997675407,33.6317259441246,157.489273590957,"34",2697.80752144938
6041,81403,1986-09-21,-66.3833333333333,43.35,103,1,1987-08-10,-66.6,42.6833333333333,104,1,323,1,0.00970873786407767,0,112.728248233739,58.8440554793204,166.612440988158,"41",2331.97709182278
6042,27922,1979-08-15,-65.6666666666667,43.4333333333333,88,2,1980-05-07,-65.9833333333333,43.4,93,2,266,5,0.0568181818181818,1,16.0789295642106,5.945546232361,26.2123128960602,"34",1938.90741933368
6043,81156,1986-09-20,-66.35,43.3666666666667,89,1,1986-09-21,-66.3666666666667,43.3666666666667,88,1,1,-1,-0.0112359550561798,0,53.8609719409936,55.4575020380096,52.2644418439776,"34",20.450062771607
6044,81339,1986-09-21,-66.3833333333333,43.3833333333333,92,2,1987-03-21,-67.0333333333333,42.45,128,2,181,36,0.391304347826087,1,184.440288119006,51.1850210865319,317.695555151479,"41",1444.33589451916
6045,44670,1982-10-20,-66.75,44.75,113,3,1982-12-14,-66.6666666666667,44.7,113,3,55,0,0,0,61.6868279019221,27.0243868610095,96.3492689428348,"38",524.477508345462
6046,44688,1982-10-21,-66.75,44.75,117,3,1982-12-01,-66.6833333333333,44.6833333333333,117,3,41,0,0,0,39.7790612699963,27.0243868610095,52.5337356789832,"38",362.635488525283
6047,44700,1982-10-21,-66.7333333333333,44.75,126,3,1982-11-18,-66.6833333333333,44.75,126,3,28,0,0,0,55.2729922510758,27.9635528861944,82.5824316159572,"38",261.449633133926
6048,44636,1982-10-18,-66.75,44.75,114,3,1983-06-10,-66.65,44.6833333333333,114,3,235,0,0,0,67.4096515057079,27.0243868610095,107.794916150406,"38",1464.37250541422
6049,44662,1982-10-20,-66.75,44.75,140,3,1983-06-09,-66.45,44.65,139,3,232,-1,-0.00714285714285714,0,111.008265215691,27.0243868610095,194.992143570372,"38",1516.36330711236
6050,44610,1982-10-18,-66.75,44.75,115,3,1982-11-15,-66.6333333333333,44.75,115,3,28,0,0,0,69.4645747493067,27.0243868610095,111.904762637604,"38",275.860227673267
6051,44614,1982-10-18,-66.75,44.75,125,3,1982-12-14,-66.6666666666667,44.6833333333333,125,3,57,0,0,0,60.0470539748592,27.0243868610095,93.069721088709,"38",529.300482131283
6052,44625,1982-10-18,-66.75,44.75,124,3,1982-11-29,-66.6666666666667,44.7,124,3,42,0,0,0,61.6868279019221,27.0243868610095,96.3492689428348,"38",416.299163805691
6053,44569,1982-10-06,-66.75,44.75,117,3,1982-12-14,-66.6666666666667,44.8166666666667,117,3,69,0,0,0,68.1729969147699,27.0243868610095,109.32160696853,"38",643.743339314208
6054,44585,1982-10-07,-66.75,44.75,124,3,1982-11-26,-66.6666666666667,44.6833333333333,124,3,50,0,0,0,60.0470539748592,27.0243868610095,93.069721088709,"38",491.894721459813
6055,44531,1982-10-06,-66.75,44.75,142,3,1982-12-07,-66.6333333333333,44.7333333333333,142,3,62,0,0,0,71.0901430672358,27.0243868610095,115.155899273462,"38",597.091306157678
6056,44545,1982-10-06,-66.75,44.75,133,3,1983-01-10,-66.5666666666667,44.6833333333333,133,3,96,0,0,0,93.3736818675312,27.0243868610095,159.722976874053,"38",762.898567134933
6057,44495,1982-09-30,-66.75,44.75,124,3,1982-11-16,-66.6666666666667,44.7333333333333,124,3,47,0,0,0,57.9923761503802,27.0243868610095,88.9603654397508,"38",460.454031683046
6058,44505,1982-09-30,-66.75,44.75,110,3,1982-12-03,-66.6166666666667,44.7333333333333,110,3,64,0,0,0,75.0526088112023,27.0243868610095,123.080830761395,"38",608.664958494222
6059,44516,1982-10-05,-66.75,44.7833333333333,133,3,1982-11-30,-66.6666666666667,44.7333333333333,133,3,56,0,0,0,67.5948833785485,46.2294013173462,88.9603654397508,"38",536.731799200584
6060,44524,1982-10-05,-66.75,44.75,134,3,1983-05-27,-66.45,44.65,134,3,234,0,0,0,111.008265215691,27.0243868610095,194.992143570372,"38",1571.76208739684
